lat,lon,elevation,time
55.738659000,13.221814000,63.3,2016-07-21T15:22:21Z
55.738574000,13.221900000,63.2,2016-07-21T15:22:27Z
55.738508000,13.221988000,63.1,2016-07-21T15:22:35Z
55.738439000,13.222082000,63.0,2016-07-21T15:22:43Z
55.738377000,13.222181000,63.0,2016-07-21T15:22:52Z
55.738300000,13.222251000,63.2,2016-07-21T15:23:00Z
55.738215000,13.222306000,63.4,2016-07-21T15:23:05Z
55.738145000,13.222386000,63.5,2016-07-21T15:23:08Z
55.738050000,13.222484000,63.7,2016-07-21T15:23:12Z
55.737979000,13.222558000,63.9,2016-07-21T15:23:15Z
55.737899000,13.222642000,64.1,2016-07-21T15:23:19Z
55.737822000,13.222694000,64.3,2016-07-21T15:23:24Z
55.737747000,13.222759000,64.5,2016-07-21T15:23:31Z
55.737674000,13.222840000,64.6,2016-07-21T15:23:38Z
55.737603000,13.222923000,64.8,2016-07-21T15:23:44Z
55.737537000,13.223016000,65.0,2016-07-21T15:23:50Z
55.737456000,13.223080000,65.2,2016-07-21T15:23:58Z
55.737383000,13.223168000,65.4,2016-07-21T15:24:03Z
55.737308000,13.223235000,65.5,2016-07-21T15:24:08Z
55.737228000,13.223325000,65.7,2016-07-21T15:24:13Z
55.737145000,13.223423000,65.9,2016-07-21T15:24:16Z
55.737055000,13.223512000,66.3,2016-07-21T15:24:20Z
55.736971000,13.223611000,66.6,2016-07-21T15:24:24Z
55.736892000,13.223701000,67.0,2016-07-21T15:24:27Z
55.736819000,13.223768000,67.4,2016-07-21T15:24:30Z
55.736728000,13.223868000,67.7,2016-07-21T15:24:34Z
55.736637000,13.223983000,68.3,2016-07-21T15:24:38Z
55.736553000,13.224097000,68.6,2016-07-21T15:24:42Z
55.736481000,13.224166000,69.0,2016-07-21T15:24:46Z
55.736402000,13.224257000,69.4,2016-07-21T15:24:50Z
55.736313000,13.224328000,69.8,2016-07-21T15:24:54Z
55.736230000,13.224408000,70.3,2016-07-21T15:24:58Z
55.736164000,13.224501000,70.5,2016-07-21T15:25:04Z
55.736087000,13.224599000,70.8,2016-07-21T15:25:11Z
55.736018000,13.224689000,71.1,2016-07-21T15:25:17Z
55.735945000,13.224750000,71.4,2016-07-21T15:25:24Z
55.735867000,13.224824000,71.7,2016-07-21T15:25:31Z
55.735788000,13.224905000,71.9,2016-07-21T15:25:38Z
55.735712000,13.224997000,72.1,2016-07-21T15:25:44Z
55.735635000,13.225065000,72.3,2016-07-21T15:25:50Z
55.735569000,13.225153000,72.5,2016-07-21T15:25:54Z
55.735454000,13.225240000,72.5,2016-07-21T15:25:59Z
55.735378000,13.225331000,72.6,2016-07-21T15:26:03Z
